Grade,Term,Year,Size,FICO_Bucket,Loan_Count,Total_Volume,Avg_Int_Rate,Default_Rate,Avg_DTI
A,36,2007,Standard (<30k),Subprime,0,0.0,,,
A,36,2007,Standard (<30k),Near-Prime,0,0.0,,,
A,36,2007,Standard (<30k),Prime,22,91750.0,8.08090909090909,0.13636363636363635,5.016363636363637
A,36,2007,Standard (<30k),Super-Prime,56,299450.0,7.630535714285714,0.017857142857142856,4.386964285714286
A,36,2007,Whale (30k+),Subprime,0,0.0,,,
A,36,2007,Whale (30k+),Near-Prime,0,0.0,,,
A,36,2007,Whale (30k+),Prime,0,0.0,,,
A,36,2007,Whale (30k+),Super-Prime,0,0.0,,,
A,36,2008,Standard (<30k),Subprime,0,0.0,,,
A,36,2008,Standard (<30k),Near-Prime,0,0.0,,,
A,36,2008,Standard (<30k),Prime,153,822925.0,8.60483660130719,0.05228758169934641,8.089738562091503
A,36,2008,Standard (<30k),Super-Prime,165,1159650.0,8.127272727272727,0.06666666666666667,7.99369696969697
A,36,2008,Whale (30k+),Subprime,0,0.0,,,
A,36,2008,Whale (30k+),Near-Prime,0,0.0,,,
A,36,2008,Whale (30k+),Prime,0,0.0,,,
A,36,2008,Whale (30k+),Super-Prime,0,0.0,,,
A,36,2009,Standard (<30k),Subprime,0,0.0,,,
A,36,2009,Standard (<30k),Near-Prime,0,0.0,,,
A,36,2009,Standard (<30k),Prime,575,3686600.0,8.890313043478262,0.09913043478260869,12.260504347826087
A,36,2009,Standard (<30k),Super-Prime,628,5014075.0,8.406337579617835,0.03821656050955414,9.290652866242038
A,36,2009,Whale (30k+),Subprime,0,0.0,,,
A,36,2009,Whale (30k+),Near-Prime,0,0.0,,,
A,36,2009,Whale (30k+),Prime,0,0.0,,,
A,36,2009,Whale (30k+),Super-Prime,0,0.0,,,
A,36,2010,Standard (<30k),Subprime,0,0.0,,,
A,36,2010,Standard (<30k),Near-Prime,2,24000.0,7.4,0.0,10.98
A,36,2010,Standard (<30k),Prime,1377,11135675.0,7.289389978213507,0.05591866376180102,13.151517792302105
A,36,2010,Standard (<30k),Super-Prime,1188,10885375.0,6.990016835016834,0.029461279461279462,9.865252525252526
A,36,2010,Whale (30k+),Subprime,0,0.0,,,
A,36,2010,Whale (30k+),Near-Prime,0,0.0,,,
A,36,2010,Whale (30k+),Prime,0,0.0,,,
A,36,2010,Whale (30k+),Super-Prime,0,0.0,,,
A,36,2011,Standard (<30k),Subprime,0,0.0,,,
A,36,2011,Standard (<30k),Near-Prime,69,314675.0,8.547246376811595,0.07246376811594203,14.719710144927536
A,36,2011,Standard (<30k),Prime,3200,26120325.0,7.48328125,0.08125,14.34695625
A,36,2011,Standard (<30k),Super-Prime,2233,21007250.0,6.416377071204658,0.039856695029108824,10.666775638154949
A,36,2011,Whale (30k+),Subprime,0,0.0,,,
A,36,2011,Whale (30k+),Near-Prime,0,0.0,,,
A,36,2011,Whale (30k+),Prime,26,880000.0,8.468076923076923,0.0,13.19923076923077
A,36,2011,Whale (30k+),Super-Prime,51,1667175.0,7.66764705882353,0.058823529411764705,9.21686274509804
A,36,2012,Standard (<30k),Subprime,1,24000.0,8.9,0.0,26.24
A,36,2012,Standard (<30k),Near-Prime,547,5848650.0,8.753235831809873,0.09140767824497258,16.428574040219377
A,36,2012,Standard (<30k),Prime,6749,68383825.0,7.8840643058230855,0.08016002370721588,15.847655949029486
A,36,2012,Standard (<30k),Super-Prime,3194,36666300.0,6.750288040075142,0.055103318722604884,11.849405134627427
A,36,2012,Whale (30k+),Subprime,0,0.0,,,
A,36,2012,Whale (30k+),Near-Prime,0,0.0,,,
A,36,2012,Whale (30k+),Prime,101,3349625.0,8.731683168316833,0.04950495049504951,15.002277227722772
A,36,2012,Whale (30k+),Super-Prime,161,5310775.0,7.910372670807453,0.037267080745341616,10.422981366459627
A,36,2013,Standard (<30k),Subprime,59,711425.0,8.445084745762712,0.01694915254237288,13.000169491525424
A,36,2013,Standard (<30k),Near-Prime,3450,51542175.0,8.33596231884058,0.058260869565217394,14.575031884057971
A,36,2013,Standard (<30k),Prime,9446,147169650.0,7.770861740419225,0.04869786152868939,15.509536311666313
A,36,2013,Standard (<30k),Super-Prime,3905,53175125.0,6.903185659411012,0.026888604353393086,13.312916773367478
A,36,2013,Whale (30k+),Subprime,0,0.0,,,
A,36,2013,Whale (30k+),Near-Prime,14,429100.0,8.737142857142858,0.14285714285714285,17.44857142857143
A,36,2013,Whale (30k+),Prime,109,3423750.0,8.68045871559633,0.06422018348623854,16.846788990825686
A,36,2013,Whale (30k+),Super-Prime,74,2335775.0,8.694189189189188,0.02702702702702703,13.274324324324324
A,36,2014,Standard (<30k),Subprime,780,8560800.0,7.7890512820512825,0.08076923076923077,13.628833333333333
A,36,2014,Standard (<30k),Near-Prime,11318,149421275.0,7.773317723979502,0.07262767273369854,15.58046916416328
A,36,2014,Standard (<30k),Prime,15896,232936600.0,7.412801333668847,0.04787367891293407,16.549925767488677
A,36,2014,Standard (<30k),Super-Prime,6290,83747775.0,6.866046104928458,0.03529411764705882,14.601704292527822
A,36,2014,Whale (30k+),Subprime,3,92000.0,8.326666666666668,0.0,15.996666666666664
A,36,2014,Whale (30k+),Near-Prime,143,4616500.0,7.979160839160839,0.027972027972027972,15.631608391608392
A,36,2014,Whale (30k+),Prime,637,20626850.0,7.92065934065934,0.03610675039246468,16.890784929356357
A,36,2014,Whale (30k+),Super-Prime,266,8694325.0,7.838496240601503,0.02631578947368421,14.430300751879699
A,36,2015,Standard (<30k),Subprime,1090,12163250.0,7.43645871559633,0.09724770642201835,14.237963302752293
A,36,2015,Standard (<30k),Near-Prime,24520,322362925.0,7.214960848287112,0.07018760195758564,16.094435562805874
A,36,2015,Standard (<30k),Prime,30431,437779650.0,6.817789096644868,0.05175643258519273,17.015686635338962
A,36,2015,Standard (<30k),Super-Prime,11623,161411925.0,6.297121225157016,0.026671255269723824,15.036408844532392
A,36,2015,Whale (30k+),Subprime,5,164000.0,7.502,0.0,17.222
A,36,2015,Whale (30k+),Near-Prime,570,18711700.0,7.536280701754387,0.043859649122807015,16.73912280701754
A,36,2015,Whale (30k+),Prime,1378,45434600.0,7.469448476052249,0.03555878084179971,16.652017416545718
A,36,2015,Whale (30k+),Super-Prime,515,16999500.0,7.354543689320388,0.040776699029126215,14.086407766990291
A,36,2016,Standard (<30k),Subprime,458,4663525.0,7.466637554585152,0.07205240174672489,13.324257641921397
A,36,2016,Standard (<30k),Near-Prime,19539,239211900.0,7.211464250985208,0.07518296739853626,15.905324529074528
A,36,2016,Standard (<30k),Prime,29517,384770100.0,6.811573669410848,0.05474811125791917,16.61908558070199
A,36,2016,Standard (<30k),Super-Prime,13240,163929300.0,6.304567975830816,0.03459214501510574,14.769683534743201
A,36,2016,Whale (30k+),Subprime,4,126000.0,7.89,0.25,7.5075
A,36,2016,Whale (30k+),Near-Prime,862,29052450.0,7.431392111368909,0.08004640371229699,15.092412993039442
A,36,2016,Whale (30k+),Prime,2285,78416750.0,7.142844638949672,0.04857768052516411,15.567807439824946
A,36,2016,Whale (30k+),Super-Prime,953,32648350.0,6.756694648478489,0.040923399790136414,13.14112277019937
A,36,2017,Standard (<30k),Subprime,96,851900.0,7.589479166666667,0.16666666666666666,16.70114583333333
A,36,2017,Standard (<30k),Near-Prime,10375,113231050.0,7.416743132530121,0.09031325301204819,16.210045323047254
A,36,2017,Standard (<30k),Prime,25369,288216725.0,6.997707832393867,0.0643699002719855,16.863243552330626
A,36,2017,Standard (<30k),Super-Prime,14826,159287600.0,6.5149743693511395,0.04303251045460677,15.632823680302415
A,36,2017,Whale (30k+),Subprime,3,105000.0,7.97,0.3333333333333333,13.436666666666667
A,36,2017,Whale (30k+),Near-Prime,905,31275225.0,7.355767955801105,0.09613259668508287,15.877491712707181
A,36,2017,Whale (30k+),Prime,2999,105110050.0,6.99511837279093,0.08369456485495165,16.831893155258765
A,36,2017,Whale (30k+),Super-Prime,1492,52760675.0,6.498056300268097,0.05294906166219839,14.75127688172043
A,36,2018,Standard (<30k),Subprime,471,5047425.0,7.28900212314225,0.13800424628450106,13.352016985138004
A,36,2018,Standard (<30k),Near-Prime,8595,100604125.0,7.304360674810937,0.11751018033740547,15.1969848661234
A,36,2018,Standard (<30k),Prime,19136,223695375.0,7.195590510033445,0.08460493311036789,16.802628081008947
A,36,2018,Standard (<30k),Super-Prime,13637,151150900.0,6.719067243528635,0.059763877685708,16.188603438142813
A,36,2018,Whale (30k+),Subprime,20,694800.0,7.0675,0.15,13.871500000000001
A,36,2018,Whale (30k+),Near-Prime,933,33067550.0,7.173172561629153,0.15434083601286175,16.676885069817402
A,36,2018,Whale (30k+),Prime,2661,95284250.0,6.9836790680195415,0.12138293874483277,17.22217653715579
A,36,2018,Whale (30k+),Super-Prime,1742,62913275.0,6.530907003444317,0.1010332950631458,15.134309647602542
A,36,2019,Standard (<30k),Subprime,310,3411525.0,7.690548387096775,0.12258064516129032,14.214999999999998
A,36,2019,Standard (<30k),Near-Prime,4207,47945975.0,7.792312811980033,0.09745661991918232,16.031253568030447
A,36,2019,Standard (<30k),Prime,7752,87214275.0,7.8137809597523225,0.07559339525283798,17.71267665676269
A,36,2019,Standard (<30k),Super-Prime,5590,57466275.0,7.4598479427549185,0.05330948121645796,16.435927585588814
A,36,2019,Whale (30k+),Subprime,14,467675.0,7.7092857142857145,0.14285714285714285,12.478571428571428
A,36,2019,Whale (30k+),Near-Prime,469,16830350.0,7.6183582089552235,0.15991471215351813,19.335202558635398
A,36,2019,Whale (30k+),Prime,961,34910475.0,7.505993756503642,0.12174817898022892,18.31602510460251
A,36,2019,Whale (30k+),Super-Prime,609,22033550.0,7.242742200328407,0.11001642036124795,17.29970297029703
A,36,2020,Standard (<30k),Subprime,13,112025.0,8.448461538461538,0.0,14.28076923076923
A,36,2020,Standard (<30k),Near-Prime,224,2295400.0,9.231651785714286,0.008928571428571428,15.36549107142857
A,36,2020,Standard (<30k),Prime,575,5848400.0,8.69393043478261,0.0052173913043478265,17.175165217391303
A,36,2020,Standard (<30k),Super-Prime,469,4551675.0,7.986886993603411,0.008528784648187633,16.28100213219616
A,36,2020,Whale (30k+),Subprime,0,0.0,,,
A,36,2020,Whale (30k+),Near-Prime,21,723450.0,8.967142857142857,0.047619047619047616,20.02952380952381
A,36,2020,Whale (30k+),Prime,61,2256100.0,8.049344262295081,0.01639344262295082,15.614426229508197
A,36,2020,Whale (30k+),Super-Prime,39,1437125.0,7.604615384615384,0.02564102564102564,16.30153846153846
A,60,2007,Standard (<30k),Subprime,0,0.0,,,
A,60,2007,Standard (<30k),Near-Prime,0,0.0,,,
A,60,2007,Standard (<30k),Prime,0,0.0,,,
A,60,2007,Standard (<30k),Super-Prime,0,0.0,,,
A,60,2007,Whale (30k+),Subprime,0,0.0,,,
A,60,2007,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2007,Whale (30k+),Prime,0,0.0,,,
A,60,2007,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2008,Standard (<30k),Subprime,0,0.0,,,
A,60,2008,Standard (<30k),Near-Prime,0,0.0,,,
A,60,2008,Standard (<30k),Prime,0,0.0,,,
A,60,2008,Standard (<30k),Super-Prime,0,0.0,,,
A,60,2008,Whale (30k+),Subprime,0,0.0,,,
A,60,2008,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2008,Whale (30k+),Prime,0,0.0,,,
A,60,2008,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2009,Standard (<30k),Subprime,0,0.0,,,
A,60,2009,Standard (<30k),Near-Prime,0,0.0,,,
A,60,2009,Standard (<30k),Prime,0,0.0,,,
A,60,2009,Standard (<30k),Super-Prime,0,0.0,,,
A,60,2009,Whale (30k+),Subprime,0,0.0,,,
A,60,2009,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2009,Whale (30k+),Prime,0,0.0,,,
A,60,2009,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2010,Standard (<30k),Subprime,0,0.0,,,
A,60,2010,Standard (<30k),Near-Prime,0,0.0,,,
A,60,2010,Standard (<30k),Prime,106,1139450.0,7.034811320754717,0.11320754716981132,13.95132075471698
A,60,2010,Standard (<30k),Super-Prime,157,1639850.0,7.136114649681528,0.06369426751592357,11.132165605095542
A,60,2010,Whale (30k+),Subprime,0,0.0,,,
A,60,2010,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2010,Whale (30k+),Prime,0,0.0,,,
A,60,2010,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2011,Standard (<30k),Subprime,0,0.0,,,
A,60,2011,Standard (<30k),Near-Prime,0,0.0,,,
A,60,2011,Standard (<30k),Prime,21,177625.0,8.624761904761906,0.19047619047619047,16.14952380952381
A,60,2011,Standard (<30k),Super-Prime,154,1490250.0,8.04025974025974,0.07142857142857142,12.12025974025974
A,60,2011,Whale (30k+),Subprime,0,0.0,,,
A,60,2011,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2011,Whale (30k+),Prime,0,0.0,,,
A,60,2011,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2012,Standard (<30k),Subprime,0,0.0,,,
A,60,2012,Standard (<30k),Near-Prime,0,0.0,,,
A,60,2012,Standard (<30k),Prime,26,423300.0,8.9,0.0,16.566153846153846
A,60,2012,Standard (<30k),Super-Prime,122,1470450.0,8.342622950819672,0.09016393442622951,13.534098360655738
A,60,2012,Whale (30k+),Subprime,0,0.0,,,
A,60,2012,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2012,Whale (30k+),Prime,0,0.0,,,
A,60,2012,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2013,Standard (<30k),Subprime,0,0.0,,,
A,60,2013,Standard (<30k),Near-Prime,14,269825.0,9.0,0.14285714285714285,9.744285714285715
A,60,2013,Standard (<30k),Prime,279,5582025.0,8.966487455197132,0.1039426523297491,16.103082437275987
A,60,2013,Standard (<30k),Super-Prime,329,6145500.0,8.963829787234042,0.0668693009118541,13.227872340425533
A,60,2013,Whale (30k+),Subprime,0,0.0,,,
A,60,2013,Whale (30k+),Near-Prime,0,0.0,,,
A,60,2013,Whale (30k+),Prime,0,0.0,,,
A,60,2013,Whale (30k+),Super-Prime,0,0.0,,,
A,60,2014,Standard (<30k),Subprime,4,70600.0,8.165,0.0,18.5625
A,60,2014,Standard (<30k),Near-Prime,164,3090525.0,8.284512195121952,0.07317073170731707,16.03518292682927
